Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
violet-frost-tray,Violet Frost Tray,"<p>A one-of-a-kind small tray with a white starburst opening across the middle like frost on a window, edged in deep violet and inky blue. A scatter of silver leaf sits at the centre where the rays meet, and the scalloped edge catches the light all the way round.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3910,0,shopify,1,deny,manual,60.00,TRUE,TRUE,draft
orchid-jigsaw-coasters,Orchid Jigsaw — Set of 4,"<p>A one-of-a-kind set of four coasters cut as jigsaw pieces, washed in alcohol ink — orchid purple, magenta and violet bleeding into one another with fine dark veining running through, no two alike. They sit together as a group without locking, so you can lay them out however you like.</p><p>Two separate coats of resin with a lot of sanding in between, which is what gives the edges and the surface their finish.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3915,0,shopify,1,deny,manual,70.00,TRUE,TRUE,draft
crimson-peony-plate,Crimson Peony Plate,"<p>A one-of-a-kind scalloped plate with a great peony opening right across it — tight crimson-veined petals at the heart, unfurling through scarlet into soft blush and then to a frosted white edge. The petals catch the light differently depending on where you stand.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3920,0,shopify,1,deny,manual,70.00,TRUE,TRUE,draft
burnished-copper-bowl,Burnished Copper Bowl,"<p>A one-of-a-kind deeply fluted bowl in burnished copper and bronze, ribbed from the centre out like a scallop shell and finished with a scalloped rim. The metallic pigment shifts from warm amber through rust to a smoky violet in the folds, depending on the light.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3925,0,shopify,1,deny,manual,75.00,TRUE,TRUE,draft
firework-trinket-dish,Firework Trinket Dish,"<p>A one-of-a-kind trinket dish with a burst of colour across the base like a firework going off — magenta and hot pink flung out from a deep indigo centre, with flecks of turquoise caught in the spray. The rim is finished in soft gold, and the whole piece has a pearly shimmer to it.</p><p>Lovely under a jarred candle, a set of keys or a few rings. Resin doesn't like heat, though — nothing straight off the stove.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Home Decor,,FALSE,Title,Default Title,,,,,WC-3930,0,shopify,1,deny,manual,55.00,TRUE,TRUE,draft
wild-pansy-coasters,Wild Pansy — Set of 4,"<p>A one-of-a-kind set of four coasters cast as five-petal blooms with a soft blush-pink border. Each flower opens from a sparkling crystal centre through acid-lime and deep violet, with fine white stamens speckled across the petals like a real pansy.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3935,0,shopify,1,deny,manual,70.00,TRUE,TRUE,draft
copper-sky-serving-board,Copper Sky Serving Board,"<p>A one-of-a-kind wooden paddle board finished in a poured resin top, marbled in dusk blue and warm copper — the colours drifting into one another like weather coming in. A fine metallic shimmer runs right through it, and the colour carries over the handle and round the hanging hole.</p><p>The resin is food-safe, so it's ready for cheese, charcuterie or bread — but it's a serving board, not a chopping board, so please don't cut on it. Wipe clean; not for the dishwasher.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3940,0,shopify,1,deny,manual,85.00,TRUE,TRUE,draft
spilled-wine,Spilled Wine,"<p>A wine glass tipped on its side with a glass of red apparently pouring out of it and pooling on the table — except nothing moves and nothing is wet. The wine is solid resin, poured and cured in place.</p><p>It sits flat and stable, and it does exactly what you'd hope: everyone who spots it reaches out to touch it. A good one for a bar cart, a kitchen windowsill, or anyone who'd enjoy the double-take.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Home Decor,,FALSE,Title,Default Title,,,,,WC-3945,0,shopify,1,deny,manual,40.00,TRUE,TRUE,draft
shoreline-thinkers,Shoreline Thinkers — Set of 3,"<p>A one-of-a-kind set of three seated thinker figures, each one rising out of a base of <em>real sand and real shells</em> set into clear resin. The colour runs as a gradient from deep sea-blue at the shoreline up through turquoise to bright aqua at the head, so each figure looks like it's sitting in the shallows.</p><p>Three separate figures, each in a different pose.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Home Decor,,FALSE,Title,Default Title,,,,,WC-3950,0,shopify,1,deny,manual,75.00,TRUE,TRUE,draft
nebula-tealight-holder,Nebula Tealight Holder,"<p>A one-of-a-kind rounded tealight holder in smoky grey, made with <strong>ghost pigment</strong> — a colour-shifting powder that throws off lilac, green and silver depending on how the light hits it, so the piece never looks quite the same twice. Holographic glitter runs all the way through, and it lights up beautifully with a tealight sitting in the well.</p><p>Use a tealight in its own metal or glass cup. Resin doesn't like heat, so no naked flame directly against it.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Home Decor,,FALSE,Title,Default Title,,,,,WC-3955,0,shopify,1,deny,manual,55.00,TRUE,TRUE,draft
